period,seed,response
dawn,81,ACI
dawn,81,Anthropophony
dawn,81,Biophony
dawn,81,Geophony
dawn,81,H
dawn,81,NDSI
dawn,81,Quiet
dawn,143,ACI
dawn,143,Anthropophony
dawn,143,Biophony
dawn,143,Geophony
dawn,143,H
dawn,143,NDSI
dawn,143,Quiet
dawn,178,ACI
dawn,178,Anthropophony
dawn,178,Biophony
dawn,178,Geophony
dawn,178,H
dawn,178,NDSI
dawn,178,Quiet
dawn,240,ACI
dawn,240,Anthropophony
dawn,240,Biophony
dawn,240,Geophony
dawn,240,H
dawn,240,NDSI
dawn,240,Quiet
dawn,273,ACI
dawn,273,Anthropophony
dawn,273,Biophony
dawn,273,Geophony
dawn,273,H
dawn,273,NDSI
dawn,273,Quiet
dawn,386,ACI
dawn,386,Anthropophony
dawn,386,Biophony
dawn,386,Geophony
dawn,386,H
dawn,386,NDSI
dawn,386,Quiet
dawn,416,ACI
dawn,416,Anthropophony
dawn,416,Biophony
dawn,416,Geophony
dawn,416,H
dawn,416,NDSI
dawn,416,Quiet
dawn,513,ACI
dawn,513,Anthropophony
dawn,513,Biophony
dawn,513,Geophony
dawn,513,H
dawn,513,NDSI
dawn,513,Quiet
dawn,601,ACI
dawn,601,Anthropophony
dawn,601,Biophony
dawn,601,Geophony
dawn,601,H
dawn,601,NDSI
dawn,601,Quiet
dawn,681,ACI
dawn,681,Anthropophony
dawn,681,Biophony
dawn,681,Geophony
dawn,681,H
dawn,681,NDSI
dawn,681,Quiet
dusk,81,ACI
dusk,81,Anthropophony
dusk,81,Biophony
dusk,81,Geophony
dusk,81,H
dusk,81,NDSI
dusk,81,Quiet
dusk,143,ACI
dusk,143,Anthropophony
dusk,143,Biophony
dusk,143,Geophony
dusk,143,H
dusk,143,NDSI
dusk,143,Quiet
dusk,178,ACI
dusk,178,Anthropophony
dusk,178,Biophony
dusk,178,Geophony
dusk,178,H
dusk,178,NDSI
dusk,178,Quiet
dusk,240,ACI
dusk,240,Anthropophony
dusk,240,Biophony
dusk,240,Geophony
dusk,240,H
dusk,240,NDSI
dusk,240,Quiet
dusk,273,ACI
dusk,273,Anthropophony
dusk,273,Biophony
dusk,273,Geophony
dusk,273,H
dusk,273,NDSI
dusk,273,Quiet
dusk,386,ACI
dusk,386,Anthropophony
dusk,386,Biophony
dusk,386,Geophony
dusk,386,H
dusk,386,NDSI
dusk,386,Quiet
dusk,416,ACI
dusk,416,Anthropophony
dusk,416,Biophony
dusk,416,Geophony
dusk,416,H
dusk,416,NDSI
dusk,416,Quiet
dusk,513,ACI
dusk,513,Anthropophony
dusk,513,Biophony
dusk,513,Geophony
dusk,513,H
dusk,513,NDSI
dusk,513,Quiet
dusk,601,ACI
dusk,601,Anthropophony
dusk,601,Biophony
dusk,601,Geophony
dusk,601,H
dusk,601,NDSI
dusk,601,Quiet
dusk,681,ACI
dusk,681,Anthropophony
dusk,681,Biophony
dusk,681,Geophony
dusk,681,H
dusk,681,NDSI
dusk,681,Quiet
midday,81,ACI
midday,81,Anthropophony
midday,81,Biophony
midday,81,Geophony
midday,81,H
midday,81,NDSI
midday,81,Quiet
midday,143,ACI
midday,143,Anthropophony
midday,143,Biophony
midday,143,Geophony
midday,143,H
midday,143,NDSI
midday,143,Quiet
midday,178,ACI
midday,178,Anthropophony
midday,178,Biophony
midday,178,Geophony
midday,178,H
